"filename", "language", "C#", "UnityAssemblyDefinition", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ICharacter.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ICondition.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IStatusManager.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Condition\IHasCondition.cs", "C#", 4, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\DungeonBluePrintData.cs", "C#", 5, 0, 0, 0, 5
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\CircleArea.cs", "C#", 8, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\FanArea.cs", "C#", 9, 0, 0, 0, 9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\IDirectionalArea.cs", "C#", -1, 0, 0, 0, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\Area\LineArea.cs", "C#", 11, 0, 0, 0, 11
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\IAffiliation.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ICharacterSkill.cs", "C#", -3, 0, 0, 0, -3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ISkillResult.cs", "C#", 8, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Effect\ITargetOfEffect.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\IMap.cs", "C#", 2, 0, 0, 0, 2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ITable.cs", "C#", 9, 0, 0, 1, 10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemCategory.cs", "C#", 10, 0, 0, 0, 10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemCategoryWeight.cs", "C#", 24, 0, 0, 1, 25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\ItemTable.cs", "C#", 26, 0, 0, 1, 27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Map\TileData.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\MasterItemDataBase.cs", "C#", 14, 0, 0, 1, 15
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\AffiliationMemento.cs", "C#", 11, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterMemento.cs", "C#", 30, 0, 0, 1, 31
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterSkillMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterStatsMemento.cs", "C#", 16, 0, 0, 1, 17
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\CharacterStatusMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ChestMemento.cs", "C#", 11, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ConditionMemento.cs", "C#", 13, 0, 0, 1, 14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\DownStairsMemento.cs", "C#", 11, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\EntityMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\EventEntitiesMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\InventoryMemento.cs", "C#", 9, 0, 0, 1, 10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ItemEntityMemento.cs", "C#", 11, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ItemMemento.cs", "C#", 26, 0, 0, 1, 27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\MapMemento.cs", "C#", 19, 0, 0, 1, 20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\RoomMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ShopItemMemento.cs", "C#", 10, 0, 0, 1, 11
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\ShopMemento.cs", "C#", 14, 0, 0, 1, 15
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\SkillMemento.cs", "C#", 24, 0, 0, 1, 25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\TileMemento.cs", "C#", 12, 0, 0, 1, 13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\TilemapMemento.cs", "C#", 13, 0, 0, 1, 14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\UpStairsMemento.cs", "C#", 11, 0, 0, 1, 12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Memento\WorldMemento.cs", "C#", 10, 0, 0, 0, 10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\AffiliationMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\CharacterMemento.cs", "C#", -29, 0, 0, -1, -30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\CharacterSkillMemento.cs", "C#", -12, 0, 0, -1, -13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\CharacterStatsMemento.cs", "C#", -15, 0, 0, -1, -16
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\CharacterStatusMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ChestMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ConditionMemento.cs", "C#", -13, 0, 0, -1, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\DownStairsMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\EntityMemento.cs", "C#", -12, 0, 0, -1, -13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\EventEntitiesMemento.cs", "C#", -12, 0, 0, -1, -13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\InventoryMemento.cs", "C#", -9, 0, 0, -1, -10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ItemEntityMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ItemMemento.cs", "C#", -26, 0, 0, -1, -27
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\MapMemento.cs", "C#", -29, 0, 0, -1, -30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\RoomMemento.cs", "C#", -12, 0, 0, -1, -13
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ShopItemMemento.cs", "C#", -10, 0, 0, -1, -11
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\ShopMemento.cs", "C#", -14, 0, 0, -1, -15
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\SkillMemento.cs", "C#", -24, 0, 0, -1, -25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\TileMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\TilemapMemento.cs", "C#", -13, 0, 0, -1, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Mementos\UpStairsMemento.cs", "C#", -11, 0, 0, -1, -12
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Character.cs", "C#", 1, 0, 0, 2, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\CharacterSkill.cs", "C#", -2, 0, 0, 0, -2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\CharacterStatusManager.cs", "C#", 15, 0, 0, -1, 14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Conditions\Acceleration.cs", "C#", 35, 0, 0, 6, 41
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Conditions\Clairvoyant.cs", "C#", 28, 0, 0, 5, 33
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\Stats\CharacterStats.cs", "C#", 37, 0, 0, 6, 43
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\ViewCalculator.cs", "C#", -112, 0, 0, -15, -127
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Characters\VisionRange.cs", "C#", 1, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\AttackEffect.cs", "C#", 3, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\ElementPower.cs", "C#", 13, 0, 0, 1, 14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\ItemTargetSkill.cs", "C#", 3, 0, 0, 0, 3
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\ItemTargetSkillResult.cs", "C#", 15, 0, 0, 1, 16
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\SpawnEffectSkill.cs", "C#", 2, 0, 0, 2, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Effect\SpawnEffectSkillResult.cs", "C#", 22, 0, 0, 1, 23
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Events\EntityEvents.cs", "C#", 47, 0, 0, 11, 58
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Items\Item.cs", "C#", -2, 0, 0, 0, -2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Items\ItemFactory.cs", "C#", -1, 0, 0, 0, -1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Items\ThrowAnimationEntity.cs", "C#", 52, 0, 0, 6, 58
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Service\Rooms\Shop.cs", "C#", -10, 0, 0, -1, -11
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\CharacterManager.cs", "C#", -71, 0, 0, -13, -84
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\EventEntityManager.cs", "C#", -81, 0, 0, -10, -91
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\Game.asmdef", "UnityAssemblyDefinition", 0, -28, 0, 0, -28
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\GameInput.cs", "C#", -25, 0, 0, -5, -30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\GameManager.cs", "C#", -91, 0, 0, -6, -97
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\Globals.cs", "C#", -13, 0, 0, -1, -14
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\ItemManager.cs", "C#", -82, 0, 0, -13, -95
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\MapBuilder.cs", "C#", -181, 0, 0, -26, -207
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\MapManager.cs", "C#", -447, 0, -5, -54, -506
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\TurnController.cs", "C#", -91, 0, 0, -15, -106
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Game\World.cs", "C#", -161, 0, 0, -24, -185
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\Container.cs", "C#", -61, 0, 0, -3, -64
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\DamagePresenter.cs", "C#", -56, 0, 0, -2, -58
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\DungeonInfoPresenter.cs", "C#", -19, 0, 0, -1, -20
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\GroupMarkerPresenter.cs", "C#", -30, 0, 0, -1, -31
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\InputPresenter.cs", "C#", -54, 0, 0, -5, -59
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\ItemSelectPresenter.cs", "C#", -33, 0, 0, -1, -34
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\KeyCharacterPresenter.cs", "C#", -39, 0, 0, -1, -40
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\LogPresenter.cs", "C#", -23, 0, 0, -2, -25
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Provider\ObjectResolverExtensions.cs", "C#", -13, 0, 0, -1, -14
