Date : 2024-09-04 04:25:08
Directory : c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain
Total : 386 files,  10661 codes, 21 comments, 1245 blanks, all 11927 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
+-------------------------+------------+------------+------------+------------+------------+
| C#                      |        383 |     10,599 |         21 |      1,245 |     11,865 |
| UnityAssemblyDefinition |          3 |         62 |          0 |          0 |         62 |
+-------------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                           |        386 |     10,661 |         21 |      1,245 |     11,927 |
| Model                                                                                                                       |        293 |      5,207 |         16 |        546 |      5,769 |
| Model (Files)                                                                                                               |         18 |        399 |          0 |         18 |        417 |
| Model\Character                                                                                                             |        201 |      3,169 |          6 |        369 |      3,544 |
| Model\Character (Files)                                                                                                     |         26 |        518 |          6 |         33 |        557 |
| Model\Character\Message                                                                                                     |          9 |         42 |          0 |          4 |         46 |
| Model\Character\Type                                                                                                        |        166 |      2,609 |          0 |        332 |      2,941 |
| Model\Condition                                                                                                             |          3 |        105 |          0 |         11 |        116 |
| Model\Effect                                                                                                                |         29 |        700 |         10 |         78 |        788 |
| Model\Effect (Files)                                                                                                        |         19 |        353 |         10 |         28 |        391 |
| Model\Effect\Area                                                                                                           |          7 |        232 |          0 |         32 |        264 |
| Model\Effect\Position                                                                                                       |          3 |        115 |          0 |         18 |        133 |
| Model\Item                                                                                                                  |         13 |        354 |          0 |         31 |        385 |
| Model\Map                                                                                                                   |          2 |         56 |          0 |          6 |         62 |
| Model\Memento                                                                                                               |         22 |        311 |          0 |         21 |        332 |
| Model\Setting                                                                                                               |          5 |        113 |          0 |         12 |        125 |
| Service                                                                                                                     |         93 |      5,454 |          5 |        699 |      6,158 |
| Service (Files)                                                                                                             |          2 |        109 |          0 |          2 |        111 |
| Service\Action                                                                                                              |          6 |        172 |          0 |         24 |        196 |
| Service\Characters                                                                                                          |         29 |      2,340 |          5 |        310 |      2,655 |
| Service\Characters (Files)                                                                                                  |          7 |      1,068 |          5 |        138 |      1,211 |
| Service\Characters\Behavior                                                                                                 |         11 |        646 |          0 |         76 |        722 |
| Service\Characters\Conditions                                                                                               |         10 |        405 |          0 |         69 |        474 |
| Service\Characters\Stats                                                                                                    |          1 |        221 |          0 |         27 |        248 |
| Service\Effect                                                                                                              |         18 |        958 |          0 |        125 |      1,083 |
| Service\Entities                                                                                                            |          6 |        108 |          0 |         14 |        122 |
| Service\Events                                                                                                              |         12 |        403 |          0 |         65 |        468 |
| Service\ItemEffect                                                                                                          |          2 |         44 |          0 |          2 |         46 |
| Service\Items                                                                                                               |          7 |        692 |          0 |         81 |        773 |
| Service\Logs                                                                                                                |          1 |         13 |          0 |          1 |         14 |
| Service\Map                                                                                                                 |          4 |        251 |          0 |         35 |        286 |
| Service\Map (Files)                                                                                                         |          3 |        215 |          0 |         31 |        246 |
| Service\Map\Tests                                                                                                           |          1 |         36 |          0 |          4 |         40 |
| Service\Rooms                                                                                                               |          6 |        364 |          0 |         40 |        404 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| filename                                                                                                                    | language                | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------+-------------------------+------------+------------+------------+------------+
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\AdditionalConditionData.cs                    | C#                      |         24 |          0 |          3 |         27 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Aggression.cs                                 | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\AggressionExtension.cs                        | C#                      |         21 |          0 |          1 |         22 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\BehaviorData.cs                               | C#                      |         21 |          0 |          1 |         22 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\CharacterRelation.cs                          | C#                      |         10 |          0 |          0 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\CharacterRelationExtensions.cs                | C#                      |         19 |          0 |          1 |         20 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\CharacterState.cs                             | C#                      |          9 |          0 |          0 |          9 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ConditionTemplate.cs                          | C#                      |         23 |          0 |          2 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Element.cs                                    | C#                      |         12 |          0 |          0 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\EnemyData.cs                                  | C#                      |         48 |          0 |          2 |         50 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IAction.cs                                    | C#                      |         10 |          6 |          2 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IActor.cs                                     | C#                      |         24 |          0 |          1 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ICharacter.cs                                 | C#                      |         76 |          0 |          5 |         81 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\ICondition.cs                                 | C#                      |         16 |          0 |          1 |         17 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IDiscoveredTargetBehavior.cs                  | C#                      |         11 |          0 |          1 |         12 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IHasBehavior.cs                               | C#                      |         15 |          0 |          1 |         16 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IInventory.cs                                 | C#                      |         18 |          0 |          1 |         19 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IItem.cs                                      | C#                      |         40 |          0 |          1 |         41 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IStats.cs                                     | C#                      |         17 |          0 |          1 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IStatusManager.cs                             | C#                      |         17 |          0 |          1 |         18 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IUndiscoveredTargetBehavior.cs                | C#                      |          9 |          0 |          1 |         10 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\IVisionRange.cs                               | C#                      |         14 |          0 |          1 |         15 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnDamageReceivedMessage.cs            | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnDeadMessage.cs                      | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnDirectionChangedMessage.cs          | C#                      |          5 |          0 |          1 |          6 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnDisabledMessage.cs                  | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnEffectSpawnedMessage.cs             | C#                      |          6 |          0 |          1 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnHealReceivedMessage.cs              | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnItemUpdated.cs                      | C#                      |          5 |          0 |          1 |          6 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnPickUpItemMessage.cs                | C#                      |          4 |          0 |          0 |          4 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\Message\OnVisibleAreaChangedMessage.cs        | C#                      |          6 |          0 |          1 |          7 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\MoveSpeed.cs                                  | C#                      |         14 |          0 |          3 |         17 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\MoveSpeedExtensions.cs                        | C#                      |         22 |          0 |          3 |         25 |
| c:\Users\Torte\Documents\Unity\LogRogue\Assets\Scripts\Domain\Model\Character\MoveTypeWhenDiscoveringTarget.cs              | C#                      |         11 |          0 |          0 |         11 |
