"filename", "language", "JSON", "C#", "UnityShader", "Database", "XML", "Shell Script", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\DirectWeaponDataEditor.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\Editor.asmdef", "JSON", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\EnemyDataEditor.cs", "C#", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\ItemDataEditor.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\ItemPriceEvaluater.cs", "C#", 0, -34, 0, 0, 0, 0, 0, -3, -37
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\StorageItemDataEditor.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 3, 37
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Editor\View\ParticleControllerEditor.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\DOTween.XML", "XML", 0, 0, 0, 0, 3089, 0, 0, 1, 3090
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Editor\DOTweenEditor.XML", "XML", 0, 0, 0, 0, 144, 0, 0, 1, 145
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTween.Modules.asmdef", "JSON", 3, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs", "C#", 0, 94, 0, 0, 0, 0, 80, 25, 199
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleEPOOutline.cs", "C#", 0, 109, 0, 0, 0, 0, 18, 20, 147
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics.cs", "C#", 0, 137, 0, 0, 0, 0, 60, 20, 217
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModulePhysics2D.cs", "C#", 0, 125, 0, 0, 0, 0, 51, 18, 194
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleSprite.cs", "C#", 0, 63, 0, 0, 0, 0, 17, 14, 94
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs", "C#", 0, 390, 0, 0, 0, 0, 203, 70, 663
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs", "C#", 0, 254, 0, 0, 0, 0, 99, 37, 390
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUtils.cs", "C#", 0, 123, 0, 0, 0, 0, 27, 18, 168
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Editor\DebugLogManagerEditor.cs", "C#", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\IngameDebugConsole.Runtime.asmdef", "JSON", 17, 0, 0, 0, 0, 0, 0, 0, 17
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\Attributes\ConsoleAttribute.cs", "C#", 0, 17, 0, 0, 0, 0, 0, 4, 21
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\Attributes\ConsoleCustomTypeParserAttribute.cs", "C#", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\CircularBuffer.cs", "C#", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\ConsoleMethodAttribute.cs", "C#", 0, 5, 0, 0, 0, 0, 0, 2, 7
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\CopyLogsOnResizeButtonClick.cs", "C#", 0, 30, 0, 0, 0, 0, 0, 5, 35
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\DebugLogConsole.cs", "C#", 0, -6, 0, 0, 0, 0, 0, 2, -4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\DebugLogItem.cs", "C#", 0, -23, 0, 0, 0, 0, 3, -2, -22
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\DebugLogManager.cs", "C#", 0, -18, 0, 0, 0, 0, 2, 6, -10
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\DebugLogPopup.cs", "C#", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\DebugLogRecycledListView.cs", "C#", 0, 41, 0, 0, 0, 0, 8, 6, 55
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\IngameDebugConsole\Scripts\EventSystemHandler.cs", "C#", 0, -2, 0, 0, 0, 0, 0, 0, -2
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinInspector.Editor.xml", "XML", 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.OdinValidator.Editor.xml", "XML", 0, 0, 0, 0, 39, 0, 0, 1, 40
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Assemblies\Sirenix.Utilities.Editor.xml", "XML", 0, 0, 0, 0, 26, 0, 0, 0, 26
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\ExtractSpriteShader.shader", "UnityShader", 0, 0, 44, 0, 0, 0, 1, 6, 51
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\GUIUtilShader.shader", "UnityShader", 0, 0, 80, 0, 0, 0, 3, 15, 98
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\LazyEditorIconShader.shader", "UnityShader", 0, 0, 41, 0, 0, 0, 7, 9, 57
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Assets\Editor\Hidden\SdfIconShader.shader", "UnityShader", 0, 0, 81, 0, 0, 0, 0, 14, 95
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\AddressablesInspectors.cs", "C#", 0, 283, 0, 0, 0, 0, -4, 99, 378
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Internal\OdinAddressableReflection.cs", "C#", 0, 19, 0, 0, 0, 0, 5, 6, 30
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Plugins\Sirenix\Odin Inspector\Modules\Unity.Addressables\Internal\OdinAddressableReflectionValidator.cs", "C#", 0, 33, 0, 0, 0, 0, 5, 8, 46
