"filename", "language", "XML", "C#", "JSON", "JSON with Comments", "UnityShader", "Python", "Markdown", "Database", "Ini", "Properties", "reStructuredText", "C", "Objective-C++", "Shell Script", "comment", "blank", "total"
"c:\Users\Torte\Documents\Unity\LogRogue\.idea\.idea.LogRogue\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\.idea\.idea.LogRogue\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\.idea\.idea.LogRogue\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\.idea\.idea.Assets.dir\.idea\encodings.xml", "XML", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\.idea\.idea.Assets.dir\.idea\indexLayout.xml", "XML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\.idea\.idea.Assets.dir\.idea\vcs.xml", "XML", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Aevus\EmergencyExit\CreateInfiniteLoopDemo.cs", "C#", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\Aevus\EmergencyExit\EmergencyExit.cs", "C#", 0, 97, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 21, 135
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\ConsoleProDebug.cs", "C#", 0, 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 10, 99
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\ConsoleProRemoteServer.cs", "C#", 0, 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 52, 249
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\BaseChannel.cs", "C#", 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 53
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\ConnectionRequest.cs", "C#", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21, 138
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\INetEventListener.cs", "C#", 0, 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62, 35, 248
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\Layers\Crc32cLayer.cs", "C#", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 42
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\Layers\PacketLayerBase.cs", "C#", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 18
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\Layers\XorEncryptLayer.cs", "C#", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 61
"c:\Users\Torte\Documents\Unity\LogRogue\Assets\ConsolePro\Remote\LiteNetLib\NatPunchModule.cs", "C#", 0, 201, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 31, 246
